dataset_name,1,2,3,4,5,number_of_reviews,reviews_per_product,reviews_per_reviewer
Amazon Instant Video,4%,5%,11%,22%,56%,37126,22.0332344214,7.23703703704
Apps for Android,10%,5%,11%,20%,51%,752937,57.001816943,8.62757387907
Automotive,2%,2%,6%,19%,68%,20473,11.1569482289,6.99214480874
Baby,4%,5%,10%,20%,58%,160792,22.8073758865,8.2690665981
Beauty,5%,5%,11%,20%,57%,198502,16.4037682836,8.87635827036
Cell Phones and Accessories,6%,5%,11%,20%,55%,194439,18.6440694218,6.9743893253
Clothing Shoes and Jewelry,4%,5%,10%,20%,58%,278677,12.0990318239,7.0753548125
Digital Music,4%,4%,10%,25%,54%,64706,18.1350896861,11.6776755098
Grocery and Gourmet Food,3%,5%,11%,21%,57%,151254,17.3595776426,10.3027041755
Health and Personal Care,4%,4%,9%,19%,61%,346355,18.6875472105,8.97083581548
Home and Kitchen,4%,4%,8%,19%,63%,551682,19.5375571059,8.29360032472
Kindle Store,2%,3%,9%,25%,58%,982619,15.8655827171,14.4030458936
Office Products,2%,3%,9%,28%,56%,53258,22.0074380165,10.8579001019
Patio Lawn and Garden,3%,5%,12%,25%,53%,13272,13.7962577963,7.871886121
Pet Supplies,5%,5%,10%,17%,60%,157836,18.5471210341,7.94903303787
Sports and Outdoors,3%,3%,8%,21%,63%,296337,16.1429972218,8.32454070453
Tools and Home Improvement,3%,3%,8%,21%,63%,134476,13.1619849271,8.08246183436
Toys and Games,2%,3%,9%,22%,61%,167597,14.055434418,8.63368019782
Video Games,6%,5%,12%,23%,51%,231780,21.7185157421,9.5370941859
Books,3%,4%,10%,24%,55%,8898040,24.1806392704,14.7399563999
CDs and Vinyl,4%,4%,9%,22%,59%,1097592,17.0319817513,14.5843896994
Electronics,6%,4%,8%,20%,59%,1689188,26.8120823479,8.77942651622
Movies and TV,6%,6%,11%,22%,53%,1697533,33.9153879965,13.6941997419
