dataset_name,1,2,3,4,5,number_of_reviews,reviews_per_product,reviews_per_reviewer
Amazon Instant Video,0.0462748478155,0.0507730431504,0.112778106987,0.227495555675,0.562678446372,37126,22.0332344214,7.23703703704
Apps for Android,0.104541283002,0.0589491551086,0.11305195521,0.209952492705,0.513505113974,752937,57.001816943,8.62757387907
Automotive,0.0264738924437,0.0295999609241,0.0698480926098,0.193767400967,0.680310653055,20473,11.1569482289,6.99214480874
Baby,0.0486280411961,0.0571732424499,0.107312552863,0.205227872033,0.581658291457,160792,22.8073758865,8.2690665981
Beauty,0.0530271735297,0.0577122648638,0.11207947527,0.200204531944,0.576976554392,198502,16.4037682836,8.87635827036
Cell Phones and Accessories,0.0682939122295,0.0569021646892,0.110260801588,0.205684044868,0.558859076626,194439,18.6440694218,6.9743893253
Clothing Shoes and Jewelry,0.0401611901951,0.0554871769109,0.109176573596,0.209407306667,0.585767752631,278677,12.0990318239,7.0753548125
Digital Music,0.043133557939,0.0465180972398,0.104920718326,0.255555898989,0.549871727506,64706,18.1350896861,11.6776755098
Grocery and Gourmet Food,0.038207254023,0.0523424173906,0.115791979055,0.215518267285,0.578140082246,151254,17.3595776426,10.3027041755
Health and Personal Care,0.0477717948348,0.0483723347433,0.0960113178675,0.196815406158,0.611029146396,346355,18.6875472105,8.97083581548
Home and Kitchen,0.0491333775617,0.0440706783981,0.0816756754797,0.191247856555,0.633872412005,551682,19.5375571059,8.29360032472
Kindle Store,0.0234251525769,0.0347337065536,0.0978955220691,0.258506094427,0.585439524373,982619,15.8655827171,14.4030458936
Office Products,0.0212174696759,0.0324082766908,0.0950092004957,0.281929475384,0.569435577754,53258,22.0074380165,10.8579001019
Patio Lawn and Garden,0.0391048824593,0.0507082579867,0.125,0.254972875226,0.530213984328,13272,13.7962577963,7.871886121
Pet Supplies,0.0554246179579,0.0564319927013,0.100946552117,0.177367647432,0.609829189792,157836,18.5471210341,7.94903303787
Sports and Outdoors,0.0305226819466,0.0344337696609,0.0812284662395,0.218700331042,0.635114751111,296337,16.1429972218,8.32454070453
Tools and Home Improvement,0.0382447425563,0.036898777477,0.080081204081,0.210714179482,0.634061096404,134476,13.1619849271,8.08246183436
Toys and Games,0.0280852282559,0.037578238274,0.0975972123606,0.223422853631,0.613316467479,167597,14.055434418,8.63368019782
Video Games,0.0640823194408,0.058948140478,0.121990680818,0.2364483562,0.518530503063,231780,21.7185157421,9.5370941859
